"player_name_pfr","college_combine","Ht","Wt","X40yd","Vertical","Bench","Broad_Jump","X3Cone","Shuttle","pos_combine","combine_yr","Pick","Career_AV_New","draft_dummy"
"Antoine Winfield Jr.","Minnesota",69,203,4.45,36,NA,124,NA,NA,"S",2020,45,7,1
"Antonio Gandy-Golden","Liberty",76,223,4.6,36,22,127,7.33,4.55,"WR",2020,142,1,1
"Antonio Gibson","Memphis",72,228,4.39,35,16,118,NA,NA,"WR",2020,66,6,1
"Ashtyn Davis","California",73,202,NA,NA,14,NA,NA,NA,"S",2020,68,4,1
"Austin Jackson","USC",77,322,5.07,31,27,115,7.95,NA,"OL",2020,18,7,1
"Austin Mack","Ohio State",73,208,4.59,31.5,NA,117,NA,4.42,"WR",2020,300,0,0
"Ben Bartch","Saint John's (MN)",78,309,NA,NA,NA,NA,NA,NA,"OL",2020,116,2,1
"Ben Bredeson","Michigan",77,315,NA,NA,NA,NA,NA,NA,"OL",2020,143,2,1
"Benito Jones","Mississippi",73,316,5.26,26.5,NA,NA,8.21,5.27,"DL",2020,300,0,0
"Benny LeMay","Charlotte",68,221,4.75,28.5,24,112,NA,NA,"RB",2020,300,0,0
"Blake Ferguson","LSU",75,229,5.07,31,NA,112,7.43,4.52,"LS",2020,185,2,1
"Braden Mann","Texas A&M",71,198,4.83,31,NA,111,7.03,4.13,"P",2020,191,3,1
"Bradlee Anae","Utah",75,257,4.93,31,25,115,7.44,4.43,"DL",2020,179,1,1
"Brandon Aiyuk","Arizona State",72,205,4.5,40,11,128,NA,NA,"WR",2020,25,7,1
"Brandon Jones","Texas",71,198,NA,NA,NA,NA,NA,NA,"S",2020,70,3,1
"Brian Cole II","Mississippi State",74,213,4.52,NA,NA,NA,NA,NA,"S",2020,249,0,1
"Brian Herrien","Georgia",71,209,4.62,38.5,18,126,7.12,4.4,"RB",2020,300,0,0
"Brian Lewerke","Michigan State",74,213,4.95,31,NA,113,7.14,4.4,"QB",2020,300,0,0
"Bryan Edwards","South Carolina",75,212,NA,NA,NA,NA,NA,NA,"WR",2020,81,3,1
"Bryce Hall","Virginia",73,202,NA,NA,11,NA,NA,NA,"CB",2020,158,4,1
"Brycen Hopkins","Purdue",76,245,4.66,33.5,21,116,7.25,4.28,"TE",2020,136,1,1
"Calvin Throckmorton","Oregon",77,317,5.57,27,23,97,8.07,4.98,"OL",2020,300,0,0
"Cam Akers","Florida State",70,217,4.47,35.5,20,122,NA,4.42,"RB",2020,52,5,1
"Cam Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,183,2,1
